task_id,runtime,probs,support
1,103.08874285714286,"[0.14285714285714285, 0.2857142857142857, 0.14285714285714285, 0.14285714285714285, 0.2857142857142857]","[1, 2, 3, 5, 6]"
2,96.73528571428571,"[0.2857142857142857, 0.14285714285714285, 0.5714285714285714]","[1, 5, 6]"
3,19.82105,"[0.5, 0.25, 0.25]","[4, 5, 6]"
4,111.08418333333333,"[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.5]","[1, 4, 5, 6]"
5,61.25011428571429,"[0.2857142857142857, 0.14285714285714285, 0.5714285714285714]","[2, 3, 5]"
6,13.147575,"[0.25, 0.75]","[3, 6]"
7,39.367824999999996,"[0.5, 0.25, 0.25]","[2, 3, 5]"
8,45.893100000000004,"[0.5714285714285714, 0.42857142857142855]","[2, 6]"
9,11.327625000000001,"[0.5, 0.25, 0.25]","[2, 4, 6]"
10,55.67665714285714,"[0.14285714285714285, 0.42857142857142855, 0.14285714285714285, 0.2857142857142857]","[1, 2, 3, 5]"
11,31.81765,"[0.5, 0.25, 0.25]","[2, 3, 5]"
12,57.517,"[0.2857142857142857, 0.14285714285714285, 0.42857142857142855, 0.14285714285714285]","[2, 4, 5, 6]"
13,11.978428571428571,"[0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.2857142857142857, 0.14285714285714285]","[1, 2, 4, 5, 6, 7]"
14,36.37432857142857,"[0.42857142857142855, 0.42857142857142855, 0.14285714285714285]","[1, 2, 3]"
15,35.486374999999995,"[0.25, 0.75]","[1, 2]"
16,94.73441428571428,"[0.14285714285714285, 0.42857142857142855, 0.2857142857142857, 0.14285714285714285]","[2, 5, 6, 7]"
17,22.034375,"[0.25, 0.25, 0.25, 0.25]","[2, 3, 5, 7]"
18,101.4615857142857,"[0.14285714285714285, 0.2857142857142857, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285]","[1, 2, 3, 4, 5, 6]"
19,58.87607142857143,"[0.14285714285714285, 0.8571428571428571]","[5, 7]"
20,18.526025,"[0.5, 0.25, 0.25]","[2, 5, 6]"
21,26.66365,"[0.75, 0.25]","[6, 7]"
22,34.52945,"[0.75, 0.25]","[1, 2]"
23,36.536575,"[0.5, 0.25, 0.25]","[1, 5, 6]"
24,102.06328571428571,"[0.2857142857142857, 0.7142857142857143]","[6, 7]"
25,40.25765,"[0.25, 0.5, 0.25]","[5, 6, 7]"
26,41.48437142857143,"[0.2857142857142857, 0.2857142857142857, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285]","[1, 2, 4, 5, 7]"
27,29.192325,"[0.25, 0.25, 0.5]","[2, 5, 6]"
28,24.180975,"[0.25, 0.25, 0.5]","[4, 5, 6]"
29,30.294075,"[0.25, 0.5, 0.25]","[1, 3, 7]"
30,16.1329,"[0.5, 0.25, 0.25]","[5, 6, 7]"
31,14.681125,"[0.5, 0.5]","[6, 7]"
32,38.345475,"[0.25, 0.75]","[1, 4]"
33,27.928975,"[0.25, 0.75]","[5, 6]"
34,32.87375,"[0.25, 0.25, 0.25, 0.25]","[1, 4, 5, 6]"
35,104.5290857142857,"[0.2857142857142857, 0.14285714285714285, 0.14285714285714285, 0.42857142857142855]","[1, 2, 3, 5]"
36,59.87725714285715,"[0.2857142857142857, 0.14285714285714285, 0.14285714285714285, 0.42857142857142855]","[4, 5, 6, 7]"
37,95.50647142857143,"[0.14285714285714285, 0.42857142857142855, 0.2857142857142857, 0.14285714285714285]","[4, 5, 6, 7]"
38,25.371225000000003,"[0.25, 0.25, 0.5]","[3, 4, 6]"
39,23.2549,"[0.75, 0.25]","[2, 3]"
40,56.35078571428572,"[0.14285714285714285, 0.14285714285714285, 0.2857142857142857, 0.42857142857142855]","[1, 5, 6, 7]"
41,48.219371428571435,"[0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.2857142857142857, 0.14285714285714285]","[1, 2, 3, 4, 5, 6]"
42,10.898542857142857,"[0.42857142857142855, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285]","[2, 3, 4, 6, 7]"
43,37.345375000000004,"[0.75, 0.25]","[6, 7]"
44,100.42049999999999,"[0.14285714285714285, 0.42857142857142855, 0.2857142857142857, 0.14285714285714285]","[1, 2, 4, 5]"
45,46.61971428571428,"[0.14285714285714285, 0.8571428571428571]","[6, 7]"
46,13.300114285714285,"[0.42857142857142855, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285]","[1, 2, 3, 5, 7]"
47,39.00842857142857,"[0.5714285714285714, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285]","[1, 2, 4, 5]"
48,33.784875,"[0.75, 0.25]","[6, 7]"
