task_id,probs,runtime,support,stderr
1,"[0.05, 0.2, 0.2, 0.29999999999999993, 0.25]",3.320763349533081,"[2, 3, 4, 5, 6]",
2,"[0.05, 0.55, 0.4]",3.265878677368164,"[5, 6, 7]",
3,"[0.10000000000000002, 0.29999999999999993, 0.55, 0.05]",3.339280128479004,"[1, 2, 3, 4]",
4,[1],3.226900815963745,[1],
5,"[0.35, 0.4, 0.10000000000000002, 0.10000000000000002, 0.05]",3.2977077960968018,"[2, 3, 4, 5, 6]",
6,"[0.05, 0.15, 0.65, 0.15]",3.234941244125366,"[3, 4, 5, 6]",
7,"[0.4, 0.6]",3.2690646648406982,"[6, 7]",
8,"[0.4, 0.5, 0.10000000000000002]",3.246290922164917,"[2, 3, 4]",
9,"[0.05, 0.10000000000000002, 0.45, 0.2, 0.2]",3.3634450435638428,"[1, 2, 3, 4, 5]",
10,"[0.95, 0.05]",3.1542277336120605,"[1, 2]",
11,"[0.25, 0.65, 0.10000000000000002]",3.1645264625549316,"[2, 3, 4]",
12,"[0.05, 0.10000000000000002, 0.55, 0.29999999999999993]",3.4921212196350098,"[3, 4, 5, 6]",
13,"[0.4, 0.6]",3.0534379482269287,"[6, 7]",
14,"[0.7, 0.29999999999999993]",3.4833171367645264,"[1, 2]",
15,"[0.15, 0.15, 0.6, 0.10000000000000002]",3.0453550815582275,"[3, 4, 5, 6]",
16,"[0.10000000000000002, 0.4, 0.35, 0.15]",3.116553783416748,"[2, 3, 4, 5]",
17,"[0.05, 0.2, 0.5, 0.15, 0.05, 0.05]",3.123753547668457,"[1, 2, 3, 4, 5, 6]",
18,"[0.15, 0.15, 0.5, 0.2]",3.2430849075317383,"[3, 4, 5, 6]",
19,[1],3.688354015350342,[7],
20,"[0.05, 0.29999999999999993, 0.4, 0.2, 0.05]",4.156167507171631,"[2, 3, 4, 5, 6]",
21,"[0.10000000000000002, 0.35, 0.29999999999999993, 0.2, 0.05]",3.6809868812561035,"[2, 3, 4, 5, 6]",
22,"[0.2, 0.65, 0.05, 0.10000000000000002]",3.7018566131591797,"[2, 3, 4, 5]",
23,"[0.15, 0.25, 0.2, 0.35, 0.05]",3.870522975921631,"[2, 3, 4, 5, 6]",
24,"[0.10000000000000002, 0.35, 0.29999999999999993, 0.2, 0.05]",3.8812973499298096,"[2, 3, 4, 5, 6]",
25,[1],2.8790340423583984,[7],
26,"[0.2, 0.25, 0.45, 0.10000000000000002]",2.842376947402954,"[3, 4, 5, 6]",
27,"[0.75, 0.25]",2.997246742248535,"[6, 7]",
28,"[0.05, 0.55, 0.4]",2.806577682495117,"[1, 2, 3]",
29,"[0.10000000000000002, 0.4, 0.45, 0.05]",2.898245096206665,"[1, 2, 3, 4]",
30,"[0.8, 0.2]",2.9240641593933105,"[6, 7]",
31,"[0.05, 0.25, 0.7]",3.525380849838257,"[5, 6, 7]",
32,"[0.9, 0.10000000000000002]",3.5660550594329834,"[1, 2]",
33,"[0.05, 0.15, 0.55, 0.25]",3.6019327640533447,"[3, 5, 6, 7]",
34,[1],3.4615395069122314,[1],
35,"[0.10000000000000002, 0.45, 0.4, 0.05]",3.624948263168335,"[1, 2, 3, 4]",
36,"[0.05, 0.29999999999999993, 0.45, 0.2]",3.4798574447631836,"[4, 5, 6, 7]",
37,[1],3.2477030754089355,[7],
38,"[0.45, 0.55]",3.2596161365509033,"[1, 2]",
39,"[0.55, 0.25, 0.2]",3.248645782470703,"[3, 4, 5]",
40,"[0.15, 0.65, 0.2]",3.205096483230591,"[4, 5, 6]",
41,"[0.45, 0.55]",3.2063262462615967,"[2, 3]",
42,"[0.2, 0.4, 0.29999999999999993, 0.10000000000000002]",3.1665053367614746,"[3, 4, 5, 6]",
43,"[0.4, 0.6]",2.9930343627929688,"[6, 7]",
44,"[0.05, 0.29999999999999993, 0.6, 0.05]",2.936140775680542,"[1, 2, 3, 4]",
45,"[0.10000000000000002, 0.6, 0.29999999999999993]",2.9562153816223145,"[5, 6, 7]",
46,"[0.4, 0.35, 0.15, 0.10000000000000002]",2.912808418273926,"[2, 3, 4, 5]",
47,"[0.10000000000000002, 0.55, 0.35]",2.8862247467041016,"[1, 2, 3]",
48,"[0.5, 0.5]",2.8556761741638184,"[5, 6]",
