task_id,runtime,rating
1,0.8626,1
2,1.2394,7
1,0.8264,3
2,0.9951,6
1,0.6052,2
2,0.7304,6
1,0.743,3
2,0.8569,5
1,0.6354,2
2,0.7824,6
1,0.6177,2
2,0.7502,5
3,0.8378,4
4,0.952,3
5,1.0819,6
6,1.2266,3
7,1.3447,2
8,1.5137,6
9,1.6768,7
10,1.816,2
11,1.9477,5
12,2.0414,4
13,2.1678,3
14,2.4077,2
15,2.5554,5
16,2.7044,6
1,0.8523,6
2,1.1215,2
1,0.726,7
2,0.9274,7
13,0.6274,4
5,0.8269,3
6,0.7503,1
3,0.9649,4
9,0.6201,4
1,0.7129,4
10,0.8236,4
1,0.9436,5
6,0.5994,3
14,0.7277,5
5,0.5503,3
15,0.6694,5
16,0.6803,3
11,0.7941,5
